,sentiment
4333,neutral
4334,negative
4335,negative
4336,negative
4337,neutral
4338,negative
4339,positive
4340,negative
4341,negative
4342,negative
4343,negative
4344,negative
4345,neutral
4346,negative
4347,neutral
4348,negative
4349,negative
4350,negative
4351,negative
4352,negative
4353,negative
4354,positive
4355,neutral
4356,positive
4357,negative
4358,negative
4359,negative
4360,positive
4361,positive
4362,negative
4363,negative
4364,neutral
4365,negative
4366,negative
4367,negative
4368,negative
4369,positive
4370,negative
4371,neutral
4372,negative
4373,positive
4374,negative
4375,neutral
4376,negative
4377,negative
4378,neutral
4379,negative
4380,negative
4381,neutral
4382,positive
4383,negative
4384,negative
4385,negative
4386,negative
4387,positive
4388,positive
4389,negative
4390,negative
4391,neutral
4392,negative
4393,negative
4394,negative
4395,neutral
4396,negative
4397,negative
4398,negative
4399,neutral
4400,negative
4401,negative
4402,negative
4403,negative
4404,negative
4405,negative
4406,negative
4407,neutral
4408,neutral
4409,negative
4410,negative
4411,neutral
4412,negative
4413,negative
4414,negative
4415,negative
4416,negative
4417,negative
4418,negative
4419,negative
4420,negative
4421,negative
4422,negative
4423,negative
4424,negative
4425,negative
4426,negative
4427,positive
4428,neutral
4429,positive
4430,positive
4431,neutral
4432,negative
4433,negative
4434,negative
4435,negative
4436,negative
4437,neutral
4438,neutral
4439,negative
4440,neutral
4441,negative
4442,negative
4443,negative
4444,negative
4445,negative
4446,negative
4447,neutral
4448,positive
4449,negative
4450,neutral
4451,negative
4452,neutral
4453,neutral
4454,positive
4455,negative
4456,negative
4457,positive
4458,negative
4459,negative
4460,negative
4461,negative
4462,negative
4463,negative
4464,neutral
4465,negative
4466,negative
4467,neutral
4468,negative
4469,negative
4470,negative
4471,negative
4472,negative
4473,neutral
4474,neutral
4475,negative
4476,negative
4477,negative
4478,negative
4479,negative
4480,positive
4481,positive
4482,neutral
4483,neutral
4484,negative
4485,negative
4486,negative
4487,negative
4488,positive
4489,negative
4490,negative
4491,positive
4492,neutral
4493,negative
4494,negative
4495,neutral
4496,neutral
4497,neutral
4498,negative
4499,positive
4500,negative
4501,negative
4502,negative
4503,positive
4504,negative
4505,negative
4506,neutral
4507,negative
4508,positive
4509,negative
4510,positive
4511,neutral
4512,positive
4513,negative
4514,negative
4515,neutral
4516,negative
4517,negative
4518,positive
4519,negative
4520,negative
4521,negative
4522,negative
4523,positive
4524,positive
4525,negative
4526,negative
4527,negative
4528,negative
4529,negative
4530,neutral
4531,positive
4532,negative
4533,positive
4534,neutral
4535,neutral
4536,negative
4537,negative
4538,negative
4539,negative
4540,negative
4541,positive
4542,negative
4543,neutral
4544,negative
4545,negative
4546,negative
4547,negative
4548,negative
4549,positive
4550,positive
4551,negative
4552,negative
4553,negative
4554,negative
4555,neutral
4556,negative
4557,negative
4558,negative
4559,negative
4560,neutral
4561,negative
4562,negative
4563,negative
4564,negative
4565,negative
4566,positive
4567,negative
4568,negative
4569,neutral
4570,negative
4571,neutral
4572,negative
4573,neutral
4574,negative
4575,neutral
4576,neutral
4577,neutral
4578,negative
4579,negative
4580,positive
4581,neutral
4582,negative
4583,negative
4584,negative
4585,negative
4586,negative
4587,negative
4588,negative
4589,neutral
4590,negative
4591,neutral
4592,negative
4593,neutral
4594,negative
4595,negative
4596,neutral
4597,negative
4598,negative
4599,negative
4600,negative
4601,positive
4602,negative
4603,positive
4604,negative
4605,negative
4606,negative
4607,negative
4608,negative
4609,positive
4610,negative
4611,negative
4612,negative
4613,negative
4614,neutral
4615,negative
4616,neutral
4617,negative
4618,negative
4619,neutral
4620,negative
4621,neutral
4622,neutral
4623,neutral
4624,neutral
4625,neutral
4626,negative
4627,positive
4628,negative
4629,negative
4630,positive
4631,neutral
4632,negative
4633,neutral
4634,neutral
4635,neutral
4636,negative
4637,neutral
4638,negative
4639,neutral
4640,negative
4641,negative
4642,negative
4643,neutral
4644,positive
4645,negative
4646,negative
4647,positive
4648,negative
4649,positive
4650,neutral
4651,negative
4652,negative
4653,negative
4654,negative
4655,positive
4656,negative
4657,neutral
4658,negative
4659,neutral
4660,negative
4661,neutral
4662,negative
4663,negative
4664,negative
4665,negative
4666,negative
4667,negative
4668,negative
4669,neutral
4670,positive
4671,positive
4672,negative
4673,negative
4674,neutral
4675,negative
4676,negative
4677,negative
4678,negative
4679,positive
4680,neutral
4681,neutral
4682,positive
4683,neutral
4684,neutral
4685,negative
4686,negative
4687,negative
4688,negative
4689,negative
4690,negative
4691,negative
4692,negative
4693,negative
4694,negative
4695,negative
4696,negative
4697,negative
4698,neutral
4699,negative
4700,positive
4701,neutral
4702,negative
4703,neutral
4704,negative
4705,negative
4706,negative
4707,negative
4708,negative
4709,neutral
4710,negative
4711,negative
4712,neutral
4713,positive
4714,negative
4715,negative
4716,negative
4717,neutral
4718,positive
4719,negative
4720,negative
4721,negative
4722,neutral
4723,negative
4724,negative
4725,neutral
4726,negative
4727,negative
4728,positive
4729,negative
4730,neutral
4731,negative
4732,negative
4733,negative
4734,negative
4735,neutral
4736,negative
4737,negative
4738,neutral
4739,negative
4740,negative
4741,negative
4742,negative
4743,negative
4744,negative
4745,neutral
4746,negative
4747,neutral
4748,negative
4749,negative
4750,positive
4751,neutral
4752,negative
4753,negative
4754,negative
4755,negative
4756,negative
4757,negative
4758,neutral
4759,neutral
4760,negative
4761,neutral
4762,negative
4763,negative
4764,negative
4765,negative
4766,negative
4767,negative
4768,negative
4769,negative
4770,neutral
4771,negative
4772,negative
4773,negative
4774,positive
4775,negative
4776,positive
4777,negative
4778,negative
4779,negative
4780,negative
4781,negative
4782,positive
4783,negative
4784,positive
4785,negative
4786,negative
4787,negative
4788,negative
4789,negative
4790,negative
4791,negative
4792,negative
4793,negative
4794,negative
4795,negative
4796,negative
4797,negative
4798,negative
4799,negative
4800,neutral
4801,positive
4802,negative
4803,negative
4804,negative
4805,negative
4806,negative
4807,neutral
4808,negative
4809,negative
4810,negative
4811,negative
4812,negative
4813,neutral
4814,positive
4815,positive
4816,neutral
4817,negative
4818,negative
4819,negative
4820,neutral
4821,negative
4822,positive
4823,positive
4824,positive
4825,neutral
4826,negative
4827,negative
4828,negative
4829,negative
4830,neutral
4831,negative
4832,neutral
4833,negative
4834,negative
4835,negative
4836,positive
4837,negative
4838,negative
4839,negative
4840,positive
4841,neutral
4842,neutral
4843,negative
4844,negative
4845,positive
4846,negative
4847,negative
4848,positive
4849,neutral
4850,negative
4851,negative
4852,neutral
4853,neutral
4854,negative
4855,neutral
4856,neutral
4857,negative
4858,neutral
4859,neutral
4860,negative
4861,negative
4862,positive
4863,negative
4864,neutral
4865,neutral
4866,neutral
4867,neutral
4868,negative
4869,neutral
4870,neutral
4871,negative
4872,positive
4873,negative
4874,negative
4875,neutral
4876,neutral
4877,neutral
4878,negative
4879,negative
4880,negative
4881,negative
4882,negative
4883,negative
4884,negative
4885,positive
4886,negative
4887,negative
4888,negative
4889,neutral
4890,negative
4891,negative
4892,negative
4893,negative
4894,negative
4895,negative
4896,neutral
4897,positive
4898,positive
4899,negative
4900,negative
4901,neutral
4902,negative
4903,positive
4904,negative
4905,positive
4906,negative
4907,negative
4908,negative
4909,negative
4910,negative
4911,negative
4912,positive
4913,negative
4914,negative
4915,neutral
4916,neutral
4917,positive
4918,negative
4919,positive
4920,negative
4921,neutral
4922,negative
4923,negative
4924,neutral
4925,negative
4926,negative
4927,negative
4928,neutral
4929,negative
4930,negative
4931,negative
4932,negative
4933,negative
4934,negative
4935,negative
4936,positive
4937,negative
4938,neutral
4939,negative
4940,negative
4941,negative
4942,negative
4943,neutral
4944,positive
4945,positive
4946,neutral
4947,negative
4948,negative
4949,negative
4950,negative
4951,positive
4952,neutral
4953,negative
4954,positive
4955,negative
4956,positive
4957,negative
4958,negative
4959,negative
4960,negative
4961,negative
4962,negative
4963,positive
4964,negative
4965,neutral
4966,negative
4967,negative
4968,neutral
4969,negative
4970,negative
4971,negative
4972,negative
4973,negative
4974,negative
4975,neutral
4976,positive
4977,negative
4978,neutral
4979,positive
4980,positive
4981,negative
4982,negative
4983,neutral
4984,positive
4985,negative
4986,negative
4987,negative
4988,negative
4989,negative
4990,negative
4991,negative
4992,negative
4993,positive
4994,negative
4995,neutral
4996,neutral
4997,negative
4998,negative
4999,positive
5000,neutral
5001,negative
5002,negative
5003,neutral
5004,positive
5005,neutral
5006,negative
5007,negative
5008,negative
5009,negative
5010,neutral
5011,negative
5012,negative
5013,negative
5014,negative
5015,neutral
5016,negative
5017,negative
5018,negative
5019,negative
5020,negative
5021,neutral
5022,neutral
5023,neutral
5024,negative
5025,neutral
5026,neutral
5027,neutral
5028,positive
5029,neutral
5030,negative
5031,negative
5032,neutral
5033,negative
5034,neutral
5035,neutral
5036,neutral
5037,positive
5038,negative
5039,neutral
5040,positive
5041,positive
5042,negative
5043,neutral
5044,negative
5045,negative
5046,negative
5047,negative
5048,positive
5049,neutral
5050,negative
5051,neutral
5052,neutral
5053,positive
5054,negative
5055,neutral
5056,negative
5057,negative
5058,neutral
5059,negative
5060,neutral
5061,negative
5062,negative
5063,negative
5064,neutral
5065,neutral
5066,negative
5067,negative
5068,positive
5069,negative
5070,neutral
5071,neutral
5072,negative
5073,negative
5074,negative
5075,negative
5076,positive
5077,negative
5078,negative
5079,negative
5080,neutral
5081,negative
5082,negative
5083,negative
5084,negative
5085,negative
5086,positive
5087,negative
5088,positive
5089,negative
5090,neutral
5091,negative
5092,positive
5093,negative
5094,positive
5095,negative
5096,negative
5097,negative
5098,neutral
5099,negative
5100,negative
5101,negative
5102,negative
5103,neutral
5104,neutral
5105,positive
5106,neutral
5107,negative
5108,negative
5109,negative
5110,negative
5111,negative
5112,positive
5113,negative
5114,neutral
5115,neutral
5116,neutral
5117,neutral
5118,positive
5119,negative
5120,negative
5121,negative
5122,negative
5123,neutral
5124,negative
5125,negative
5126,positive
5127,negative
5128,negative
5129,negative
5130,neutral
5131,positive
5132,positive
5133,negative
5134,negative
5135,neutral
5136,neutral
5137,negative
5138,negative
5139,positive
5140,negative
5141,neutral
5142,neutral
5143,negative
5144,negative
5145,negative
5146,negative
5147,negative
5148,positive
5149,negative
5150,negative
5151,negative
5152,positive
5153,neutral
5154,negative
5155,positive
5156,neutral
5157,negative
5158,negative
5159,negative
5160,negative
5161,negative
5162,neutral
5163,neutral
5164,negative
5165,positive
5166,negative
5167,negative
5168,positive
5169,positive
5170,positive
5171,negative
5172,negative
5173,negative
5174,neutral
5175,negative
5176,negative
5177,negative
5178,positive
5179,negative
5180,negative
5181,negative
5182,neutral
5183,neutral
5184,negative
5185,negative
5186,negative
5187,neutral
5188,negative
5189,negative
5190,negative
5191,neutral
5192,negative
5193,negative
5194,negative
5195,positive
5196,negative
5197,neutral
5198,positive
5199,negative
5200,negative
5201,neutral
5202,neutral
5203,negative
5204,positive
5205,negative
5206,negative
5207,negative
5208,neutral
5209,negative
5210,negative
5211,negative
5212,positive
5213,negative
5214,negative
5215,positive
5216,positive
5217,positive
5218,neutral
5219,negative
5220,neutral
5221,negative
5222,positive
5223,neutral
5224,neutral
5225,neutral
5226,negative
5227,positive
5228,neutral
5229,negative
5230,positive
5231,negative
5232,negative
5233,negative
5234,positive
5235,negative
5236,neutral
5237,negative
5238,negative
5239,neutral
5240,negative
5241,positive
5242,negative
5243,negative
5244,negative
5245,negative
5246,neutral
5247,positive
5248,neutral
5249,negative
5250,negative
5251,neutral
5252,negative
5253,neutral
5254,negative
5255,neutral
5256,negative
5257,positive
5258,negative
5259,negative
5260,negative
5261,neutral
5262,negative
5263,neutral
5264,negative
5265,negative
5266,positive
5267,negative
5268,neutral
5269,negative
5270,positive
5271,negative
5272,negative
5273,negative
5274,positive
5275,negative
5276,positive
5277,positive
5278,negative
5279,positive
5280,negative
5281,positive
5282,positive
5283,negative
5284,positive
5285,negative
5286,negative
5287,neutral
5288,positive
5289,neutral
5290,positive
5291,neutral
5292,negative
5293,negative
5294,negative
5295,neutral
5296,negative
5297,positive
5298,negative
5299,negative
5300,negative
5301,neutral
5302,negative
5303,neutral
5304,negative
5305,neutral
5306,neutral
5307,neutral
5308,neutral
5309,negative
5310,negative
5311,negative
5312,neutral
5313,positive
5314,negative
5315,negative
5316,neutral
5317,neutral
5318,positive
5319,negative
5320,negative
5321,neutral
5322,positive
5323,negative
5324,negative
5325,positive
5326,negative
5327,negative
5328,negative
5329,negative
5330,neutral
5331,negative
5332,neutral
5333,negative
5334,negative
5335,neutral
5336,negative
5337,positive
5338,neutral
5339,neutral
5340,negative
5341,positive
5342,neutral
5343,positive
5344,positive
5345,neutral
5346,neutral
5347,positive
5348,neutral
5349,positive
5350,negative
5351,neutral
5352,neutral
5353,negative
5354,positive
5355,neutral
5356,neutral
5357,positive
5358,positive
5359,negative
5360,neutral
5361,positive
5362,positive
5363,negative
5364,negative
5365,negative
5366,positive
5367,negative
5368,neutral
5369,negative
5370,neutral
5371,neutral
5372,negative
5373,positive
5374,positive
5375,neutral
5376,positive
5377,positive
5378,positive
5379,positive
5380,neutral
5381,neutral
5382,neutral
5383,positive
5384,neutral
5385,positive
5386,positive
5387,negative
5388,neutral
5389,negative
5390,negative
5391,neutral
5392,negative
5393,neutral
5394,negative
5395,negative
5396,negative
5397,positive
5398,neutral
5399,positive
5400,negative
5401,neutral
5402,negative
5403,neutral
5404,positive
5405,neutral
5406,negative
5407,positive
5408,negative
5409,neutral
5410,negative
5411,negative
5412,negative
5413,neutral
5414,neutral
5415,negative
5416,negative
5417,positive
5418,negative
5419,negative
5420,negative
5421,negative
5422,negative
5423,negative
5424,neutral
5425,positive
5426,neutral
5427,negative
5428,negative
5429,neutral
5430,neutral
5431,negative
5432,neutral
5433,negative
5434,neutral
5435,neutral
5436,neutral
5437,positive
5438,neutral
5439,neutral
5440,negative
5441,negative
5442,neutral
5443,neutral
5444,positive
5445,negative
5446,positive
5447,negative
5448,neutral
5449,negative
5450,negative
5451,positive
5452,neutral
5453,neutral
5454,positive
5455,negative
5456,neutral
5457,neutral
5458,neutral
5459,negative
5460,negative
5461,neutral
5462,negative
5463,positive
5464,neutral
5465,negative
5466,neutral
5467,positive
5468,neutral
5469,negative
5470,neutral
5471,negative
5472,negative
5473,neutral
5474,positive
5475,neutral
5476,negative
5477,neutral
5478,positive
5479,negative
5480,negative
5481,negative
5482,positive
5483,negative
5484,negative
5485,positive
5486,neutral
5487,negative
5488,negative
5489,negative
5490,neutral
5491,negative
5492,positive
5493,negative
5494,negative
5495,negative
5496,negative
5497,negative
5498,negative
5499,neutral
5500,positive
5501,positive
5502,negative
5503,neutral
5504,negative
5505,neutral
5506,negative
5507,neutral
5508,neutral
5509,negative
5510,negative
5511,neutral
5512,negative
5513,negative
5514,negative
5515,negative
5516,negative
5517,negative
5518,negative
5519,positive
5520,negative
5521,positive
5522,positive
5523,positive
5524,negative
5525,positive
5526,negative
5527,neutral
5528,negative
5529,negative
5530,negative
5531,negative
5532,negative
5533,negative
5534,negative
5535,neutral
5536,negative
5537,negative
5538,neutral
5539,neutral
5540,neutral
5541,negative
5542,negative
5543,positive
5544,positive
5545,neutral
5546,neutral
5547,neutral
5548,negative
5549,positive
5550,positive
5551,negative
5552,negative
5553,neutral
5554,positive
5555,neutral
5556,neutral
5557,positive
5558,negative
5559,neutral
5560,negative
5561,neutral
5562,negative
5563,neutral
5564,negative
5565,negative
5566,positive
5567,positive
5568,neutral
5569,negative
5570,neutral
5571,positive
5572,positive
5573,neutral
5574,negative
5575,negative
5576,neutral
5577,negative
5578,negative
5579,neutral
5580,neutral
5581,neutral
5582,neutral
5583,neutral
5584,negative
5585,negative
5586,neutral
5587,negative
5588,neutral
5589,negative
5590,neutral
5591,negative
5592,negative
5593,negative
5594,positive
5595,positive
5596,negative
5597,neutral
5598,neutral
5599,neutral
5600,negative
5601,neutral
5602,negative
5603,neutral
5604,neutral
5605,negative
5606,negative
5607,neutral
5608,neutral
5609,neutral
5610,negative
5611,negative
5612,negative
5613,negative
5614,neutral
5615,neutral
5616,neutral
5617,neutral
5618,negative
5619,negative
5620,negative
5621,negative
5622,negative
5623,negative
5624,negative
5625,negative
5626,neutral
5627,neutral
5628,neutral
5629,negative
5630,negative
5631,neutral
5632,neutral
5633,negative
5634,positive
5635,negative
5636,neutral
5637,negative
5638,negative
5639,positive
5640,negative
5641,negative
5642,neutral
5643,negative
5644,positive
5645,neutral
5646,positive
5647,negative
5648,negative
5649,negative
5650,neutral
5651,neutral
5652,neutral
5653,positive
5654,neutral
5655,negative
5656,neutral
5657,neutral
5658,neutral
5659,negative
5660,negative
5661,positive
5662,neutral
5663,neutral
5664,negative
5665,neutral
5666,negative
5667,negative
5668,positive
5669,neutral
5670,negative
5671,positive
5672,negative
5673,positive
5674,neutral
5675,neutral
5676,negative
5677,negative
5678,neutral
5679,neutral
5680,negative
5681,neutral
5682,negative
5683,negative
5684,negative
5685,neutral
5686,neutral
5687,neutral
5688,neutral
5689,neutral
5690,negative
5691,neutral
5692,positive
5693,negative
5694,negative
5695,negative
5696,negative
5697,positive
5698,neutral
5699,negative
5700,negative
5701,neutral
5702,positive
5703,neutral
5704,neutral
5705,negative
5706,neutral
5707,neutral
5708,negative
5709,negative
5710,neutral
5711,neutral
5712,positive
5713,neutral
5714,neutral
5715,negative
5716,positive
5717,neutral
5718,neutral
5719,negative
5720,negative
5721,neutral
5722,negative
5723,neutral
5724,negative
5725,positive
5726,positive
5727,neutral
5728,neutral
5729,positive
5730,neutral
5731,positive
5732,neutral
5733,negative
5734,negative
5735,neutral
5736,negative
5737,neutral
5738,neutral
5739,negative
5740,neutral
5741,neutral
5742,neutral
5743,positive
5744,neutral
5745,neutral
5746,negative
5747,positive
5748,neutral
5749,positive
5750,neutral
5751,positive
5752,neutral
5753,positive
5754,positive
5755,neutral
5756,positive
5757,negative
5758,neutral
5759,negative
5760,negative
5761,positive
5762,positive
5763,neutral
5764,negative
5765,neutral
5766,neutral
5767,positive
5768,neutral
5769,neutral
5770,negative
5771,positive
5772,neutral
5773,neutral
5774,neutral
5775,positive
5776,neutral
5777,positive
5778,neutral
5779,negative
5780,neutral
5781,neutral
5782,negative
5783,neutral
5784,positive
5785,neutral
5786,negative
5787,neutral
5788,neutral
5789,negative
5790,negative
5791,neutral
5792,neutral
5793,negative
5794,neutral
5795,negative
5796,positive
5797,negative
5798,neutral
5799,neutral
5800,negative
5801,negative
5802,neutral
5803,negative
5804,neutral
5805,negative
5806,negative
5807,neutral
5808,neutral
5809,negative
5810,neutral
5811,neutral
5812,negative
5813,neutral
5814,neutral
5815,negative
5816,neutral
5817,neutral
5818,neutral
5819,neutral
5820,neutral
5821,neutral
5822,negative
5823,negative
5824,neutral
5825,positive
5826,negative
5827,neutral
5828,positive
5829,neutral
5830,neutral
5831,neutral
5832,negative
5833,neutral
5834,neutral
5835,negative
5836,negative
5837,neutral
5838,neutral
5839,positive
5840,negative
5841,neutral
5842,negative
5843,neutral
5844,neutral
5845,neutral
5846,neutral
5847,neutral
5848,neutral
5849,neutral
5850,neutral
5851,neutral
5852,neutral
5853,neutral
5854,neutral
5855,neutral
5856,neutral
5857,negative
5858,negative
5859,neutral
5860,neutral
5861,neutral
5862,negative
5863,neutral
5864,negative
5865,neutral
5866,neutral
5867,negative
5868,neutral
5869,positive
5870,neutral
5871,negative
5872,negative
5873,negative
5874,neutral
5875,neutral
5876,negative
5877,negative
5878,neutral
5879,negative
5880,neutral
5881,neutral
5882,negative
5883,negative
5884,negative
5885,negative
5886,neutral
5887,neutral
5888,neutral
5889,negative
5890,neutral
5891,negative
5892,negative
5893,negative
5894,negative
5895,negative
5896,negative
5897,positive
5898,negative
5899,negative
5900,positive
5901,positive
5902,negative
5903,negative
5904,neutral
5905,positive
5906,negative
5907,negative
5908,positive
5909,neutral
5910,negative
5911,positive
5912,negative
5913,negative
5914,neutral
5915,positive
5916,neutral
5917,negative
5918,positive
5919,negative
5920,negative
5921,negative
5922,negative
5923,negative
5924,neutral
5925,positive
5926,negative
5927,negative
5928,positive
5929,negative
5930,negative
5931,neutral
5932,positive
5933,positive
5934,positive
5935,negative
5936,negative
5937,neutral
5938,positive
5939,neutral
5940,negative
5941,negative
5942,negative
5943,positive
5944,positive
5945,negative
5946,negative
5947,neutral
5948,negative
5949,negative
5950,negative
5951,negative
5952,negative
5953,negative
5954,negative
5955,positive
5956,negative
5957,neutral
5958,positive
5959,positive
5960,negative
5961,neutral
5962,negative
5963,negative
5964,negative
5965,negative
5966,negative
5967,negative
5968,positive
5969,negative
5970,positive
5971,negative
5972,negative
5973,negative
5974,positive
5975,neutral
5976,neutral
5977,neutral
5978,positive
5979,positive
5980,negative
5981,negative
5982,negative
5983,positive
5984,positive
5985,negative
5986,negative
5987,negative
5988,positive
5989,neutral
5990,neutral
5991,negative
5992,negative
5993,negative
5994,neutral
5995,positive
5996,positive
5997,neutral
5998,neutral
5999,positive
6000,negative
6001,negative
6002,negative
6003,negative
6004,negative
6005,negative
6006,positive
6007,positive
6008,positive
6009,positive
6010,negative
6011,positive
6012,positive
6013,positive
6014,neutral
6015,positive
6016,neutral
6017,positive
6018,negative
6019,neutral
6020,negative
6021,negative
6022,negative
6023,positive
6024,positive
6025,neutral
6026,negative
6027,neutral
6028,negative
6029,neutral
6030,negative
6031,neutral
6032,positive
6033,negative
6034,negative
6035,positive
6036,positive
6037,negative
6038,negative
6039,positive
6040,positive
6041,positive
6042,positive
6043,negative
6044,neutral
6045,negative
6046,positive
6047,positive
6048,neutral
6049,negative
6050,negative
6051,negative
6052,neutral
6053,positive
6054,negative
6055,positive
6056,negative
6057,neutral
6058,positive
6059,neutral
6060,negative
6061,neutral
6062,negative
6063,negative
6064,negative
6065,positive
6066,neutral
6067,positive
6068,positive
6069,positive
6070,positive
6071,positive
6072,positive
6073,positive
6074,negative
6075,negative
6076,positive
6077,neutral
6078,negative
6079,neutral
6080,negative
6081,negative
6082,negative
6083,positive
6084,negative
6085,positive
6086,negative
6087,negative
6088,positive
6089,negative
6090,negative
6091,positive
6092,negative
6093,negative
6094,negative
6095,negative
6096,neutral
6097,negative
6098,negative
6099,neutral
6100,negative
6101,neutral
6102,positive
6103,neutral
6104,negative
6105,negative
6106,negative
6107,negative
6108,negative
6109,negative
6110,negative
6111,negative
6112,negative
6113,negative
6114,positive
6115,negative
6116,neutral
6117,negative
6118,positive
6119,negative
6120,neutral
6121,neutral
6122,neutral
6123,negative
6124,neutral
6125,positive
6126,neutral
6127,neutral
6128,neutral
6129,negative
6130,negative
6131,neutral
6132,positive
6133,positive
6134,negative
6135,negative
6136,positive
6137,neutral
6138,negative
6139,negative
6140,neutral
6141,neutral
6142,negative
6143,positive
6144,negative
6145,negative
6146,negative
6147,neutral
6148,positive
6149,negative
6150,negative
6151,negative
6152,negative
6153,negative
6154,negative
6155,negative
6156,positive
6157,neutral
6158,negative
6159,negative
6160,negative
6161,neutral
6162,negative
6163,negative
6164,neutral
6165,positive
6166,negative
6167,negative
6168,neutral
6169,neutral
6170,negative
6171,negative
6172,neutral
6173,negative
6174,neutral
6175,positive
6176,negative
6177,negative
6178,negative
6179,neutral
6180,negative
6181,neutral
6182,positive
6183,negative
6184,negative
6185,neutral
6186,negative
6187,negative
6188,negative
6189,positive
6190,negative
6191,negative
6192,negative
6193,negative
6194,positive
6195,negative
6196,neutral
6197,negative
6198,neutral
6199,negative
6200,negative
6201,negative
6202,negative
6203,neutral
6204,neutral
6205,negative
6206,positive
6207,negative
6208,positive
6209,negative
6210,negative
6211,negative
6212,neutral
6213,positive
6214,positive
6215,positive
6216,neutral
6217,negative
6218,negative
6219,negative
6220,neutral
6221,negative
6222,negative
6223,neutral
6224,negative
6225,positive
6226,positive
6227,negative
6228,neutral
6229,negative
6230,negative
6231,neutral
6232,neutral
6233,neutral
6234,neutral
6235,negative
6236,neutral
6237,negative
6238,negative
6239,negative
6240,positive
6241,negative
6242,negative
6243,neutral
6244,neutral
6245,neutral
6246,positive
6247,negative
6248,negative
6249,neutral
6250,neutral
6251,positive
6252,negative
6253,neutral
6254,negative
6255,neutral
6256,neutral
6257,negative
6258,negative
6259,positive
6260,neutral
6261,positive
6262,positive
6263,neutral
6264,positive
6265,negative
6266,neutral
6267,negative
6268,neutral
6269,positive
6270,neutral
6271,negative
6272,negative
6273,positive
6274,neutral
6275,negative
6276,negative
6277,negative
6278,negative
6279,negative
6280,negative
6281,negative
6282,negative
6283,neutral
6284,negative
6285,negative
6286,negative
6287,negative
6288,negative
6289,neutral
6290,negative
6291,positive
6292,negative
6293,positive
6294,negative
6295,neutral
6296,negative
6297,negative
6298,negative
6299,negative
6300,neutral
6301,neutral
6302,negative
6303,negative
6304,positive
6305,positive
6306,neutral
6307,neutral
6308,neutral
6309,negative
6310,negative
6311,negative
6312,negative
6313,neutral
6314,negative
6315,negative
6316,negative
6317,negative
6318,neutral
6319,neutral
6320,negative
6321,neutral
6322,positive
6323,negative
6324,negative
6325,positive
6326,negative
6327,negative
6328,negative
6329,negative
6330,neutral
6331,negative
6332,negative
6333,positive
6334,neutral
6335,neutral
6336,negative
6337,negative
6338,positive
6339,neutral
6340,negative
6341,negative
6342,neutral
6343,neutral
6344,negative
6345,neutral
6346,negative
6347,neutral
6348,neutral
6349,neutral
6350,negative
6351,negative
6352,positive
6353,neutral
6354,negative
6355,negative
6356,negative
6357,positive
6358,negative
6359,negative
6360,negative
6361,negative
6362,negative
6363,positive
6364,negative
6365,positive
6366,negative
6367,neutral
6368,negative
6369,negative
6370,neutral
6371,negative
6372,positive
6373,positive
6374,negative
6375,negative
6376,positive
6377,neutral
6378,neutral
6379,neutral
6380,positive
6381,negative
6382,negative
6383,positive
6384,negative
6385,negative
6386,negative
6387,positive
6388,neutral
6389,positive
6390,negative
6391,negative
6392,negative
6393,negative
6394,negative
6395,negative
6396,negative
6397,negative
6398,negative
6399,negative
6400,positive
6401,negative
6402,negative
6403,positive
6404,positive
6405,negative
6406,neutral
6407,negative
6408,negative
6409,negative
6410,negative
6411,negative
6412,negative
6413,positive
6414,negative
6415,negative
6416,negative
6417,neutral
6418,negative
6419,neutral
6420,negative
6421,positive
6422,negative
6423,positive
6424,negative
6425,positive
6426,positive
6427,negative
6428,negative
6429,neutral
6430,positive
6431,negative
6432,negative
6433,neutral
6434,neutral
6435,negative
6436,positive
6437,neutral
6438,negative
6439,positive
6440,negative
6441,negative
6442,negative
6443,negative
6444,negative
6445,negative
6446,positive
6447,negative
6448,negative
6449,negative
6450,positive
6451,negative
6452,negative
6453,positive
6454,negative
6455,positive
6456,positive
6457,negative
6458,negative
6459,negative
6460,negative
6461,negative
6462,negative
6463,neutral
6464,negative
6465,negative
6466,positive
6467,negative
6468,negative
6469,negative
6470,positive
6471,positive
6472,positive
6473,negative
6474,negative
6475,negative
6476,negative
6477,negative
6478,negative
6479,negative
6480,negative
6481,neutral
6482,negative
6483,negative
6484,negative
6485,negative
6486,positive
6487,positive
6488,negative
6489,neutral
6490,positive
6491,negative
6492,positive
6493,negative
6494,positive
6495,negative
6496,positive
6497,negative
6498,positive
6499,negative
6500,negative
6501,negative
6502,neutral
6503,neutral
6504,negative
6505,negative
6506,positive
6507,neutral
6508,negative
6509,negative
6510,positive
6511,negative
6512,positive
6513,positive
6514,negative
6515,negative
6516,positive
6517,negative
6518,positive
6519,positive
6520,positive
6521,negative
6522,positive
6523,negative
6524,neutral
6525,negative
6526,negative
6527,positive
6528,positive
6529,negative
6530,negative
6531,negative
6532,negative
6533,positive
6534,negative
6535,negative
6536,negative
6537,positive
6538,positive
6539,negative
6540,positive
6541,negative
6542,negative
6543,neutral
6544,negative
6545,negative
6546,negative
6547,negative
6548,negative
6549,positive
6550,negative
6551,negative
6552,negative
6553,positive
6554,negative
6555,neutral
6556,negative
6557,negative
6558,negative
6559,negative
6560,neutral
6561,neutral
6562,negative
